Ticket_ID,Business_Unit_ID,Process_ID,Category_ID,Region,Priority,Created_Date,Resolution_Hours,SLA_Hours,SLA_Breached,Status,Root_Cause,Risk_Score,Risk_Category,Escalation_Flag,Customer_Impact,Root_Cause_Clean,Customer_Impact_Clean,Business_Unit,Process
TKT-000032,6,4,3,Singapore,High,2024-11-10,143.0,24,True,Resolved,Human Error,78,High,False,High,Human Error,High,IT Operations,Production Support
TKT-000033,3,8,5,Canada,Critical,2025-06-21,8.0,8,False,Open,Training Gap,66,Medium,False,,Training Gap,Unknown,Supply Chain,Customer Support
TKT-000034,3,8,3,France,Low,2024-10-08,44.2,120,False,Resolved,System Defect,37,Low,False,Medium,System Defect,Medium,Supply Chain,Customer Support
TKT-000035,2,5,1,Canada,Low,2024-10-12,105.2,120,False,In Progress,Training Gap,13,Low,False,,Training Gap,Unknown,Quality Assurance,Submission Management
TKT-000036,4,2,3,Canada,Medium,2024-05-16,65.6,72,False,Closed,Human Error,27,Low,False,Medium,Human Error,Medium,Manufacturing,Quality Review
TKT-000037,7,6,8,US,High,2025-06-12,11.0,24,False,Resolved,External Dependency,45,Medium,False,Low,External Dependency,Low,Finance,System Access
TKT-000038,4,4,3,Netherlands,High,2025-07-27,21.8,24,False,Resolved,System Defect,33,Low,False,,System Defect,Unknown,Manufacturing,Production Support
TKT-000039,6,4,8,Netherlands,Medium,2024-11-27,47.4,72,False,Resolved,System Defect,41,Medium,False,Low,System Defect,Low,IT Operations,Production Support
TKT-000040,4,7,5,Netherlands,Medium,2024-04-14,35.3,72,False,In Progress,External Dependency,31,Low,False,High,External Dependency,High,Manufacturing,Invoice Processing
TKT-000041,1,5,7,Australia,High,2025-06-27,12.6,24,False,Resolved,Integration Failure,41,Medium,False,Low,Integration Failure,Low,Customer Operations,Submission Management
TKT-000042,3,8,8,UK,Medium,2024-07-19,149.2,72,True,Resolved,External Dependency,57,Medium,True,,External Dependency,Unknown,Supply Chain,Customer Support
TKT-000043,5,2,2,US,Critical,2025-07-12,29.9,8,True,Closed,Human Error,66,Medium,True,High,Human Error,High,Regulatory Affairs,Quality Review
TKT-000044,7,1,2,Netherlands,Low,2024-12-18,34.7,120,False,Open,Training Gap,35,Low,False,Low,Training Gap,Low,Finance,Order Management
TKT-000045,5,1,7,Netherlands,High,2025-08-11,22.4,24,False,Closed,System Defect,44,Medium,False,Severe,System Defect,Severe,Regulatory Affairs,Order Management
TKT-000046,8,6,2,Australia,Medium,2024-08-27,16.8,72,False,Closed,Training Gap,35,Low,False,,Training Gap,Unknown,Commercial Operations,System Access
TKT-000047,2,1,6,France,High,2024-12-27,35.5,24,True,Closed,Human Error,71,High,False,Medium,Human Error,Medium,Quality Assurance,Order Management
TKT-000048,6,7,5,Singapore,Medium,2024-07-25,20.7,72,False,Closed,Process Gap,38,Low,False,Medium,Process Gap,Medium,IT Operations,Invoice Processing
TKT-000049,2,5,4,Singapore,Medium,2025-06-02,42.0,72,False,Resolved,Process Gap,34,Low,False,High,Process Gap,High,Quality Assurance,Submission Management
TKT-000050,1,4,1,France,High,2025-08-24,85.8,24,True,Resolved,Integration Failure,57,Medium,True,Low,Integration Failure,Low,Customer Operations,Production Support
TKT-000051,3,5,4,Germany,Low,2025-03-05,76.0,120,False,Resolved,Unknown,32,Low,False,Low,Unknown,Low,Supply Chain,Submission Management
TKT-000052,8,6,8,Canada,Medium,2025-04-10,41.1,72,False,Open,Integration Failure,19,Low,False,High,Integration Failure,High,Commercial Operations,System Access
TKT-000053,4,4,3,Australia,Low,2024-12-12,23.7,120,False,Resolved,Human Error,23,Low,False,Low,Human Error,Low,Manufacturing,Production Support
TKT-000054,4,4,8,UK,Low,2025-11-16,24.3,120,False,Closed,Training Gap,25,Low,False,High,Training Gap,High,Manufacturing,Production Support
TKT-000055,7,2,7,Germany,Medium,2024-01-24,39.8,72,False,In Progress,External Dependency,38,Low,False,Low,External Dependency,Low,Finance,Quality Review
TKT-000056,5,4,3,France,Low,2025-07-29,86.8,120,False,Resolved,Process Gap,23,Low,False,,Process Gap,Unknown,Regulatory Affairs,Production Support
TKT-000057,2,5,5,UK,High,2025-07-13,23.1,24,False,Resolved,System Defect,60,Medium,False,Low,System Defect,Low,Quality Assurance,Submission Management
TKT-000058,8,7,5,Australia,High,2025-04-08,10.3,24,False,Open,Training Gap,33,Low,False,High,Training Gap,High,Commercial Operations,Invoice Processing
TKT-000059,5,4,3,Canada,Critical,2025-01-13,145.9,8,True,Resolved,Missing Data,85,High,False,,Missing Data,Unknown,Regulatory Affairs,Production Support
TKT-000060,7,7,7,Singapore,Medium,2024-11-03,30.9,72,False,Resolved,Training Gap,28,Low,False,Low,Training Gap,Low,Finance,Invoice Processing
TKT-000061,3,5,5,Australia,Medium,2025-09-20,52.5,72,False,Open,System Defect,22,Low,False,Medium,System Defect,Medium,Supply Chain,Submission Management
TKT-000062,5,8,5,Netherlands,High,2024-10-04,9.2,24,False,Closed,System Defect,47,Medium,False,,System Defect,Unknown,Regulatory Affairs,Customer Support
TKT-000063,1,4,2,Netherlands,Low,2024-10-27,17.9,120,False,Open,Process Gap,35,Low,False,Severe,Process Gap,Severe,Customer Operations,Production Support
TKT-000064,3,8,8,Singapore,Medium,2024-03-20,152.9,72,True,Open,Unknown,38,Low,False,Low,Unknown,Low,Supply Chain,Customer Support
TKT-000065,7,1,4,US,High,2024-03-07,42.9,24,True,Resolved,Unknown,80,High,True,High,Unknown,High,Finance,Order Management
TKT-000066,4,6,4,UK,Medium,2024-08-24,82.2,72,True,Closed,System Defect,49,Medium,False,Low,System Defect,Low,Manufacturing,System Access
TKT-000067,4,1,3,France,High,2025-11-09,15.9,24,False,Closed,Integration Failure,43,Medium,False,,Integration Failure,Unknown,Manufacturing,Order Management
TKT-000068,7,3,4,Australia,Medium,2024-02-21,60.6,72,False,Resolved,Missing Data,40,Medium,False,Medium,Missing Data,Medium,Finance,Inventory Planning
TKT-000069,1,7,7,US,Critical,2024-04-30,10.0,8,True,Open,Training Gap,83,High,True,,Training Gap,Unknown,Customer Operations,Invoice Processing
TKT-000070,2,1,1,US,Low,2024-02-05,38.0,120,False,In Progress,System Defect,20,Low,False,Low,System Defect,Low,Quality Assurance,Order Management
TKT-000071,5,1,4,Netherlands,Medium,2024-06-02,65.8,72,False,Closed,System Defect,28,Low,False,Medium,System Defect,Medium,Regulatory Affairs,Order Management
TKT-000072,3,2,4,Singapore,High,2025-01-02,14.7,24,False,In Progress,Human Error,44,Medium,False,,Human Error,Unknown,Supply Chain,Quality Review
TKT-000073,8,3,3,Germany,Critical,2024-06-01,13.3,8,True,Closed,Missing Data,71,High,True,Medium,Missing Data,Medium,Commercial Operations,Inventory Planning
TKT-000074,1,7,3,Singapore,Medium,2024-03-17,26.6,72,False,In Progress,Unknown,40,Medium,False,High,Unknown,High,Customer Operations,Invoice Processing
TKT-000075,6,8,1,US,Medium,2024-09-08,49.9,72,False,Closed,Missing Data,27,Low,False,Low,Missing Data,Low,IT Operations,Customer Support
TKT-000076,5,8,8,UK,Medium,2024-11-03,15.7,72,False,Resolved,System Defect,31,Low,False,Medium,System Defect,Medium,Regulatory Affairs,Customer Support
TKT-000077,6,6,3,Netherlands,Medium,2025-10-06,19.8,72,False,Resolved,Process Gap,43,Medium,False,Medium,Process Gap,Medium,IT Operations,System Access
TKT-000078,6,5,2,US,Critical,2025-07-09,33.5,8,True,Resolved,System Defect,81,High,False,Medium,System Defect,Medium,IT Operations,Submission Management
TKT-000079,8,8,6,Singapore,Medium,2025-08-14,351.4,72,True,Resolved,External Dependency,54,Medium,True,,External Dependency,Unknown,Commercial Operations,Customer Support
TKT-000080,8,5,5,US,High,2024-12-24,55.7,24,True,Resolved,Unknown,51,Medium,False,,Unknown,Unknown,Commercial Operations,Submission Management
TKT-000081,7,7,3,Germany,Low,2024-06-27,116.2,120,False,Resolved,Training Gap,27,Low,False,Medium,Training Gap,Medium,Finance,Invoice Processing
TKT-000082,7,8,1,Australia,Medium,2024-04-16,110.1,72,True,In Progress,Unknown,53,Medium,False,,Unknown,Unknown,Finance,Customer Support
TKT-000083,3,4,6,Canada,Medium,2025-03-30,40.2,72,False,Resolved,Integration Failure,44,Medium,False,Medium,Integration Failure,Medium,Supply Chain,Production Support
TKT-000084,1,3,4,US,Critical,2025-07-16,8.9,8,True,Resolved,Human Error,86,High,False,Medium,Human Error,Medium,Customer Operations,Inventory Planning
TKT-000085,8,8,4,Singapore,High,2024-04-23,21.9,24,False,In Progress,Integration Failure,35,Low,False,,Integration Failure,Unknown,Commercial Operations,Customer Support
TKT-000086,7,3,8,Canada,Medium,2025-10-21,8.0,72,False,Resolved,Process Gap,30,Low,False,,Process Gap,Unknown,Finance,Inventory Planning
TKT-000087,8,6,6,Netherlands,Medium,2025-09-22,14.2,72,False,Open,System Defect,43,Medium,False,,System Defect,Unknown,Commercial Operations,System Access
TKT-000088,1,4,4,Australia,Medium,2024-11-28,26.5,72,False,Resolved,Process Gap,23,Low,False,Low,Process Gap,Low,Customer Operations,Production Support
TKT-000089,5,1,4,Canada,Low,2024-04-26,88.3,120,False,Resolved,Integration Failure,18,Low,False,,Integration Failure,Unknown,Regulatory Affairs,Order Management
TKT-000090,3,5,1,Australia,Medium,2025-01-26,72.5,72,True,Closed,Unknown,52,Medium,False,Medium,Unknown,Medium,Supply Chain,Submission Management
TKT-000091,2,1,3,UK,High,2024-10-11,24.3,24,True,Resolved,Missing Data,52,Medium,False,High,Missing Data,High,Quality Assurance,Order Management
TKT-000092,8,3,2,Canada,Medium,2025-10-29,19.8,72,False,Resolved,System Defect,18,Low,False,,System Defect,Unknown,Commercial Operations,Inventory Planning
TKT-000093,3,5,2,Australia,Medium,2025-09-22,61.3,72,False,Resolved,System Defect,28,Low,False,,System Defect,Unknown,Supply Chain,Submission Management
TKT-000094,3,1,1,Netherlands,Medium,2025-05-02,8.6,72,False,In Progress,Missing Data,20,Low,False,Medium,Missing Data,Medium,Supply Chain,Order Management
TKT-000095,2,3,8,UK,Medium,2025-09-09,43.6,72,False,Closed,Human Error,45,Medium,False,,Human Error,Unknown,Quality Assurance,Inventory Planning
TKT-000096,4,7,1,Germany,Medium,2024-12-15,13.4,72,False,In Progress,Missing Data,28,Low,False,Low,Missing Data,Low,Manufacturing,Invoice Processing
TKT-000097,1,6,2,Singapore,Medium,2025-09-01,43.5,72,False,Resolved,Process Gap,24,Low,False,Medium,Process Gap,Medium,Customer Operations,System Access
TKT-000098,3,6,4,Australia,Medium,2025-02-04,87.2,72,True,Resolved,Process Gap,54,Medium,True,Medium,Process Gap,Medium,Supply Chain,System Access
TKT-000099,8,5,4,UK,Critical,2024-12-20,38.1,8,True,Resolved,Unknown,73,High,False,Medium,Unknown,Medium,Commercial Operations,Submission Management
TKT-000100,4,1,3,UK,High,2024-05-05,25.0,24,True,Resolved,Human Error,58,Medium,False,Medium,Human Error,Medium,Manufacturing,Order Management
TKT-000101,4,1,7,Australia,Critical,2025-01-05,19.2,8,True,Resolved,External Dependency,80,High,False,Low,External Dependency,Low,Manufacturing,Order Management
TKT-000102,3,3,2,Singapore,Medium,2024-09-23,18.7,72,False,Open,System Defect,42,Medium,False,Severe,System Defect,Severe,Supply Chain,Inventory Planning
TKT-000103,5,7,7,US,High,2025-11-30,30.9,24,True,Open,System Defect,72,High,False,,System Defect,Unknown,Regulatory Affairs,Invoice Processing
TKT-000104,8,4,4,UK,Medium,2024-10-07,115.5,72,True,In Progress,Integration Failure,63,Medium,False,,Integration Failure,Unknown,Commercial Operations,Production Support
TKT-000105,2,6,4,Germany,Low,2025-01-15,82.9,120,False,Resolved,Training Gap,18,Low,False,Medium,Training Gap,Medium,Quality Assurance,System Access
TKT-000106,5,2,1,UK,High,2024-08-02,52.7,24,True,Resolved,Missing Data,55,Medium,False,Medium,Missing Data,Medium,Regulatory Affairs,Quality Review
TKT-000107,3,5,7,France,Medium,2025-01-18,32.1,72,False,Resolved,System Defect,39,Low,False,,System Defect,Unknown,Supply Chain,Submission Management
TKT-000108,8,4,7,UK,Medium,2025-04-10,9.8,72,False,In Progress,Process Gap,44,Medium,False,,Process Gap,Unknown,Commercial Operations,Production Support
TKT-000109,2,5,1,Singapore,High,2025-07-13,89.7,24,True,Resolved,Process Gap,74,High,True,High,Process Gap,High,Quality Assurance,Submission Management
TKT-000110,1,2,7,Singapore,Critical,2024-01-15,26.6,8,True,Resolved,Unknown,68,Medium,True,Low,Unknown,Low,Customer Operations,Quality Review
TKT-000111,7,3,5,Australia,High,2024-03-09,11.5,24,False,Closed,External Dependency,40,Medium,False,Low,External Dependency,Low,Finance,Inventory Planning
TKT-000112,1,4,7,Netherlands,High,2025-09-02,10.6,24,False,Open,Human Error,48,Medium,False,,Human Error,Unknown,Customer Operations,Production Support
TKT-000113,3,6,7,France,Low,2025-02-22,2.8,120,False,Resolved,Training Gap,32,Low,False,,Training Gap,Unknown,Supply Chain,System Access
TKT-000114,2,1,4,Singapore,Medium,2024-09-01,1.8,72,False,Resolved,External Dependency,18,Low,False,Medium,External Dependency,Medium,Quality Assurance,Order Management
TKT-000115,1,6,7,France,Medium,2025-03-25,223.1,72,True,In Progress,Human Error,65,Medium,False,,Human Error,Unknown,Customer Operations,System Access
TKT-000116,2,5,8,UK,Low,2024-01-25,139.7,120,True,In Progress,Process Gap,50,Medium,True,Low,Process Gap,Low,Quality Assurance,Submission Management
TKT-000117,5,2,4,Canada,Medium,2025-02-04,24.1,72,False,Resolved,Missing Data,18,Low,False,,Missing Data,Unknown,Regulatory Affairs,Quality Review
TKT-000118,1,8,8,US,High,2024-09-04,26.0,24,True,Closed,Human Error,72,High,False,,Human Error,Unknown,Customer Operations,Customer Support
TKT-000119,3,4,7,Germany,Low,2025-12-08,42.1,120,False,In Progress,Missing Data,18,Low,False,Low,Missing Data,Low,Supply Chain,Production Support
TKT-000120,6,3,7,Germany,Medium,2025-10-02,36.1,72,False,Resolved,Training Gap,28,Low,False,,Training Gap,Unknown,IT Operations,Inventory Planning
TKT-000121,2,3,2,US,Medium,2024-04-30,27.3,72,False,Open,System Defect,23,Low,False,High,System Defect,High,Quality Assurance,Inventory Planning
TKT-000122,4,8,5,US,Low,2025-06-03,12.6,120,False,Closed,Unknown,37,Low,False,Medium,Unknown,Medium,Manufacturing,Customer Support
TKT-000123,8,5,1,Germany,High,2024-03-22,89.0,24,True,In Progress,Missing Data,54,Medium,True,High,Missing Data,High,Commercial Operations,Submission Management
TKT-000124,3,2,1,Canada,High,2024-10-04,96.1,24,True,Resolved,Human Error,75,High,True,Medium,Human Error,Medium,Supply Chain,Quality Review
TKT-000125,6,1,4,US,High,2024-10-10,16.6,24,False,Resolved,System Defect,41,Medium,False,Low,System Defect,Low,IT Operations,Order Management
TKT-000126,6,6,7,France,Medium,2024-02-27,113.0,72,True,Resolved,,38,Low,False,Medium,Unknown,Medium,IT Operations,System Access
TKT-000127,1,4,7,Germany,Medium,2025-12-25,78.7,72,True,Closed,Training Gap,62,Medium,True,Low,Training Gap,Low,Customer Operations,Production Support
TKT-000128,8,4,8,Australia,Low,2025-01-27,135.7,120,True,Closed,Human Error,43,Medium,False,Low,Human Error,Low,Commercial Operations,Production Support
TKT-000129,6,6,8,Canada,Critical,2025-10-15,31.7,8,True,Resolved,Human Error,87,High,False,,Human Error,Unknown,IT Operations,System Access
TKT-000130,8,8,6,UK,Medium,2025-10-14,26.1,72,False,Resolved,Missing Data,48,Medium,False,Low,Missing Data,Low,Commercial Operations,Customer Support
TKT-000131,8,4,4,Germany,Medium,2024-07-17,42.0,72,False,Open,Human Error,34,Low,False,Low,Human Error,Low,Commercial Operations,Production Support
TKT-000132,7,4,6,France,High,2025-10-01,33.3,24,True,Resolved,Human Error,59,Medium,True,Low,Human Error,Low,Finance,Production Support
TKT-000133,7,4,5,Australia,High,2025-05-19,37.2,24,True,Resolved,Unknown,65,Medium,False,Low,Unknown,Low,Finance,Production Support
TKT-000134,6,7,6,Singapore,Medium,2025-10-06,36.3,72,False,Open,Human Error,35,Low,False,Medium,Human Error,Medium,IT Operations,Invoice Processing
TKT-000135,4,2,6,US,Low,2024-12-18,53.9,120,False,Resolved,Integration Failure,37,Low,False,,Integration Failure,Unknown,Manufacturing,Quality Review
TKT-000136,4,3,2,Germany,Medium,2025-02-05,17.4,72,False,Resolved,External Dependency,48,Medium,False,Low,External Dependency,Low,Manufacturing,Inventory Planning
TKT-000137,2,7,1,Singapore,Medium,2024-11-08,69.2,72,False,In Progress,Process Gap,23,Low,False,,Process Gap,Unknown,Quality Assurance,Invoice Processing
TKT-000138,2,5,8,Netherlands,Medium,2025-01-27,21.0,72,False,Closed,Unknown,20,Low,False,Medium,Unknown,Medium,Quality Assurance,Submission Management
TKT-000139,3,5,2,US,Medium,2024-10-10,16.3,72,False,Resolved,Training Gap,44,Medium,False,,Training Gap,Unknown,Supply Chain,Submission Management
TKT-000140,7,6,4,Australia,Low,2025-11-16,29.9,120,False,Open,Unknown,18,Low,False,Low,Unknown,Low,Finance,System Access
TKT-000141,3,7,8,US,Low,2025-12-28,12.6,120,False,Open,Missing Data,38,Low,False,,Missing Data,Unknown,Supply Chain,Invoice Processing
TKT-000142,8,5,6,France,High,2024-05-08,15.6,24,False,Resolved,Integration Failure,42,Medium,False,Low,Integration Failure,Low,Commercial Operations,Submission Management
TKT-000143,7,4,6,UK,Medium,2025-12-26,35.4,72,False,Resolved,Process Gap,42,Medium,False,Low,Process Gap,Low,Finance,Production Support
TKT-000144,4,1,6,Australia,High,2025-10-23,28.1,24,True,Open,Process Gap,62,Medium,True,Low,Process Gap,Low,Manufacturing,Order Management
TKT-000145,7,2,5,UK,High,2025-06-25,23.5,24,False,Resolved,Unknown,41,Medium,False,Low,Unknown,Low,Finance,Quality Review
TKT-000146,1,3,7,US,Critical,2025-05-16,29.7,8,True,Open,External Dependency,62,Medium,True,,External Dependency,Unknown,Customer Operations,Inventory Planning
TKT-000147,7,5,5,Singapore,Medium,2024-09-07,17.7,72,False,Closed,Unknown,41,Medium,False,Low,Unknown,Low,Finance,Submission Management
TKT-000148,6,3,7,Australia,Medium,2025-10-10,55.8,72,False,Closed,Training Gap,27,Low,False,,Training Gap,Unknown,IT Operations,Inventory Planning
TKT-000149,4,8,7,Germany,Critical,2024-04-04,29.3,8,True,Resolved,Unknown,87,High,False,Low,Unknown,Low,Manufacturing,Customer Support
TKT-000150,1,3,8,US,High,2025-02-17,144.6,24,True,Closed,Human Error,76,High,False,,Human Error,Unknown,Customer Operations,Inventory Planning
TKT-000151,8,7,7,Netherlands,Low,2025-02-16,15.8,120,False,Closed,Missing Data,17,Low,False,Low,Missing Data,Low,Commercial Operations,Invoice Processing
TKT-000152,6,1,1,Germany,High,2025-12-28,67.7,24,True,Closed,Unknown,57,Medium,True,High,Unknown,High,IT Operations,Order Management
TKT-000153,3,1,8,Germany,High,2025-06-17,10.1,24,False,Open,Unknown,55,Medium,False,,Unknown,Unknown,Supply Chain,Order Management
TKT-000154,5,6,6,Germany,Medium,2025-07-04,55.5,72,False,Resolved,System Defect,33,Low,False,Severe,System Defect,Severe,Regulatory Affairs,System Access
TKT-000155,2,4,3,US,Low,2025-08-18,116.0,120,False,Resolved,Missing Data,31,Low,False,,Missing Data,Unknown,Quality Assurance,Production Support
TKT-000156,7,6,4,Netherlands,High,2025-10-03,18.5,24,False,In Progress,System Defect,55,Medium,False,Low,System Defect,Low,Finance,System Access
TKT-000157,1,1,5,Canada,Medium,2024-07-11,9.7,72,False,Closed,Integration Failure,41,Medium,False,Medium,Integration Failure,Medium,Customer Operations,Order Management
TKT-000158,4,7,8,Netherlands,Medium,2025-07-21,36.6,72,False,Resolved,Missing Data,25,Low,False,High,Missing Data,High,Manufacturing,Invoice Processing
TKT-000159,1,5,4,Canada,High,2025-08-24,17.8,24,False,Resolved,Missing Data,60,Medium,False,,Missing Data,Unknown,Customer Operations,Submission Management
TKT-000160,8,6,8,Canada,Medium,2024-02-13,47.4,72,False,Resolved,Human Error,34,Low,False,Medium,Human Error,Medium,Commercial Operations,System Access
TKT-000161,2,6,1,Australia,Medium,2025-10-14,34.2,72,False,Closed,Unknown,26,Low,False,Low,Unknown,Low,Quality Assurance,System Access
TKT-000162,4,8,2,Australia,Medium,2025-03-28,30.6,72,False,Resolved,Process Gap,35,Low,False,Low,Process Gap,Low,Manufacturing,Customer Support
TKT-000163,4,2,1,Germany,Medium,2024-01-01,37.2,72,False,Resolved,System Defect,37,Low,False,,System Defect,Unknown,Manufacturing,Quality Review
TKT-000164,4,1,6,UK,Medium,2025-12-27,29.0,72,False,Resolved,Integration Failure,45,Medium,False,,Integration Failure,Unknown,Manufacturing,Order Management
TKT-000165,8,6,6,Germany,High,2025-05-08,16.0,24,False,Closed,Integration Failure,44,Medium,False,Medium,Integration Failure,Medium,Commercial Operations,System Access
TKT-000166,4,6,6,Australia,Low,2025-02-01,33.0,120,False,Resolved,External Dependency,18,Low,False,High,External Dependency,High,Manufacturing,System Access
TKT-000167,2,5,6,US,Medium,2024-01-16,122.1,72,True,Resolved,Unknown,56,Medium,False,Low,Unknown,Low,Quality Assurance,Submission Management
TKT-000168,4,8,4,Singapore,High,2024-11-28,37.5,24,True,Closed,Process Gap,77,High,False,Medium,Process Gap,Medium,Manufacturing,Customer Support
TKT-000169,6,3,6,Canada,Critical,2025-03-31,3.0,8,False,In Progress,Process Gap,60,Medium,False,,Process Gap,Unknown,IT Operations,Inventory Planning
TKT-000170,7,6,7,UK,Medium,2025-09-08,60.5,72,False,Resolved,Unknown,37,Low,False,Low,Unknown,Low,Finance,System Access
TKT-000171,2,5,7,France,Medium,2024-11-05,63.3,72,False,Closed,Missing Data,40,Medium,False,Severe,Missing Data,Severe,Quality Assurance,Submission Management
TKT-000172,1,6,4,Singapore,Critical,2025-11-11,26.4,8,True,Resolved,Process Gap,88,High,True,Low,Process Gap,Low,Customer Operations,System Access
TKT-000173,5,1,5,Australia,Medium,2025-04-04,40.1,72,False,Open,Process Gap,33,Low,False,Medium,Process Gap,Medium,Regulatory Affairs,Order Management
TKT-000174,5,8,6,Germany,High,2025-09-29,34.4,24,True,Closed,Missing Data,54,Medium,True,,Missing Data,Unknown,Regulatory Affairs,Customer Support
TKT-000175,2,7,3,Germany,Medium,2024-03-29,13.2,72,False,Resolved,Unknown,27,Low,False,,Unknown,Unknown,Quality Assurance,Invoice Processing
TKT-000176,1,3,1,Germany,High,2024-07-21,34.7,24,True,Resolved,Missing Data,72,High,False,Medium,Missing Data,Medium,Customer Operations,Inventory Planning
TKT-000177,5,4,7,Canada,Medium,2025-11-22,56.1,72,False,Closed,Human Error,46,Medium,False,Medium,Human Error,Medium,Regulatory Affairs,Production Support
