Ticket_ID,Business_Unit_ID,Process_ID,Category_ID,Region,Priority,Created_Date,Resolution_Hours,SLA_Hours,SLA_Breached,Status,Root_Cause,Risk_Score,Risk_Category,Escalation_Flag,Customer_Impact
TKT-000042,3,8,8,UK,Medium,2024-07-19,149.2,72,Yes,Resolved,External Dependency,57,Medium,Yes,None
TKT-000043,5,2,2,US,Critical,2025-07-12,29.9,8,Yes,Closed,Human Error,66,Medium,Yes,High
TKT-000044,7,1,2,Netherlands,Low,2024-12-18,34.7,120,No,Open,Training Gap,35,Low,No,Low
TKT-000045,5,1,7,Netherlands,High,2025-08-11,22.4,24,No,Closed,System Defect,44,Medium,No,Severe
TKT-000046,8,6,2,Australia,Medium,2024-08-27,16.8,72,No,Closed,Training Gap,35,Low,No,None
TKT-000047,2,1,6,France,High,2024-12-27,35.5,24,Yes,Closed,Human Error,71,High,No,Medium
TKT-000048,6,7,5,Singapore,Medium,2024-07-25,20.7,72,No,Closed,Process Gap,38,Low,No,Medium
TKT-000049,2,5,4,Singapore,Medium,2025-06-02,42.0,72,No,Resolved,Process Gap,34,Low,No,High
TKT-000050,1,4,1,France,High,2025-08-24,85.8,24,Yes,Resolved,Integration Failure,57,Medium,Yes,Low
TKT-000051,3,5,4,Germany,Low,2025-03-05,76.0,120,No,Resolved,Unknown,32,Low,No,Low
TKT-000052,8,6,8,Canada,Medium,2025-04-10,41.1,72,No,Open,Integration Failure,19,Low,No,High
TKT-000053,4,4,3,Australia,Low,2024-12-12,23.7,120,No,Resolved,Human Error,23,Low,No,Low
TKT-000054,4,4,8,UK,Low,2025-11-16,24.3,120,No,Closed,Training Gap,25,Low,No,High
TKT-000055,7,2,7,Germany,Medium,2024-01-24,39.8,72,No,In Progress,External Dependency,38,Low,No,Low
TKT-000056,5,4,3,France,Low,2025-07-29,86.8,120,No,Resolved,Process Gap,23,Low,No,None
TKT-000057,2,5,5,UK,High,2025-07-13,23.1,24,No,Resolved,System Defect,60,Medium,No,Low
TKT-000058,8,7,5,Australia,High,2025-04-08,10.3,24,No,Open,Training Gap,33,Low,No,High
TKT-000059,5,4,3,Canada,Critical,2025-01-13,145.9,8,Yes,Resolved,Missing Data,85,High,No,None
TKT-000060,7,7,7,Singapore,Medium,2024-11-03,30.9,72,No,Resolved,Training Gap,28,Low,No,Low
TKT-000061,3,5,5,Australia,Medium,2025-09-20,52.5,72,No,Open,System Defect,22,Low,No,Medium
TKT-000062,5,8,5,Netherlands,High,2024-10-04,9.2,24,No,Closed,System Defect,47,Medium,No,None
TKT-000063,1,4,2,Netherlands,Low,2024-10-27,17.9,120,No,Open,Process Gap,35,Low,No,Severe
TKT-000064,3,8,8,Singapore,Medium,2024-03-20,152.9,72,Yes,Open,Unknown,38,Low,No,Low
TKT-000065,7,1,4,US,High,2024-03-07,42.9,24,Yes,Resolved,Unknown,80,High,Yes,High
TKT-000066,4,6,4,UK,Medium,2024-08-24,82.2,72,Yes,Closed,System Defect,49,Medium,No,Low
TKT-000067,4,1,3,France,High,2025-11-09,15.9,24,No,Closed,Integration Failure,43,Medium,No,
TKT-000068,7,3,4,Australia,Medium,2024-02-21,60.6,72,No,Resolved,Missing Data,40,Medium,No,Medium
TKT-000069,1,7,7,US,Critical,2024-04-30,10.0,8,Yes,Open,Training Gap,83,High,Yes,None
TKT-000070,2,1,1,US,Low,2024-02-05,38.0,120,No,In Progress,System Defect,20,Low,No,Low
TKT-000071,5,1,4,Netherlands,Medium,2024-06-02,65.8,72,No,Closed,System Defect,28,Low,No,Medium
TKT-000072,3,2,4,Singapore,High,2025-01-02,14.7,24,No,In Progress,Human Error,44,Medium,No,None
TKT-000073,8,3,3,Germany,Critical,2024-06-01,13.3,8,Yes,Closed,Missing Data,71,High,Yes,Medium
TKT-000074,1,7,3,Singapore,Medium,2024-03-17,26.6,72,No,In Progress,Unknown,40,Medium,No,High
TKT-000075,6,8,1,US,Medium,2024-09-08,49.9,72,No,Closed,Missing Data,27,Low,No,Low
TKT-000076,5,8,8,UK,Medium,2024-11-03,15.7,72,No,Resolved,System Defect,31,Low,No,Medium
TKT-000077,6,6,3,Netherlands,Medium,2025-10-06,19.8,72,No,Resolved,Process Gap,43,Medium,No,Medium
TKT-000078,6,5,2,US,Critical,2025-07-09,33.5,8,Yes,Resolved,System Defect,81,High,No,Medium
TKT-000079,8,8,6,Singapore,Medium,2025-08-14,351.4,72,Yes,Resolved,External Dependency,54,Medium,Yes,None
TKT-000080,8,5,5,US,High,2024-12-24,55.7,24,Yes,Resolved,Unknown,51,Medium,No,None
TKT-000081,7,7,3,Germany,Low,2024-06-27,116.2,120,No,Resolved,Training Gap,27,Low,No,Medium
TKT-000082,7,8,1,Australia,Medium,2024-04-16,110.1,72,Yes,In Progress,Unknown,53,Medium,No,None
TKT-000083,3,4,6,Canada,Medium,2025-03-30,40.2,72,No,Resolved,Integration Failure,44,Medium,No,Medium
TKT-000084,1,3,4,US,Critical,2025-07-16,8.9,8,Yes,Resolved,Human Error,86,High,No,Medium
TKT-000085,8,8,4,Singapore,High,2024-04-23,21.9,24,No,In Progress,Integration Failure,35,Low,No,None
TKT-000086,7,3,8,Canada,Medium,2025-10-21,8.0,72,No,Resolved,Process Gap,30,Low,No,None
TKT-000087,8,6,6,Netherlands,Medium,2025-09-22,14.2,72,No,Open,System Defect,43,Medium,No,None
TKT-000088,1,4,4,Australia,Medium,2024-11-28,26.5,72,No,Resolved,Process Gap,23,Low,No,Low
TKT-000089,5,1,4,Canada,Low,2024-04-26,88.3,120,No,Resolved,Integration Failure,18,Low,No,None
TKT-000090,3,5,1,Australia,Medium,2025-01-26,72.5,72,Yes,Closed,Unknown,52,Medium,No,Medium
TKT-000091,2,1,3,UK,High,2024-10-11,24.3,24,Yes,Resolved,Missing Data,52,Medium,No,High
TKT-000092,8,3,2,Canada,Medium,2025-10-29,19.8,72,No,Resolved,System Defect,18,Low,No,None
TKT-000093,3,5,2,Australia,Medium,2025-09-22,61.3,72,No,Resolved,System Defect,28,Low,No,None
TKT-000094,3,1,1,Netherlands,Medium,2025-05-02,8.6,72,No,In Progress,Missing Data,20,Low,No,Medium
TKT-000095,2,3,8,UK,Medium,2025-09-09,43.6,72,No,Closed,Human Error,45,Medium,No,None
TKT-000096,4,7,1,Germany,Medium,2024-12-15,13.4,72,No,In Progress,Missing Data,28,Low,No,Low
TKT-000097,1,6,2,Singapore,Medium,2025-09-01,43.5,72,No,Resolved,Process Gap,24,Low,No,Medium
TKT-000098,3,6,4,Australia,Medium,2025-02-04,87.2,72,Yes,Resolved,Process Gap,54,Medium,Yes,Medium
TKT-000099,8,5,4,UK,Critical,2024-12-20,38.1,8,Yes,Resolved,Unknown,73,High,No,Medium
TKT-000100,4,1,3,UK,High,2024-05-05,25.0,24,Yes,Resolved,Human Error,58,Medium,No,Medium
TKT-000101,4,1,7,Australia,Critical,2025-01-05,19.2,8,Yes,Resolved,External Dependency,80,High,No,Low
TKT-000102,3,3,2,Singapore,Medium,2024-09-23,18.7,72,No,Open,System Defect,42,Medium,No,Severe
TKT-000103,5,7,7,US,High,2025-11-30,30.9,24,Yes,Open,System Defect,72,High,No,None
TKT-000104,8,4,4,UK,Medium,2024-10-07,115.5,72,Yes,In Progress,Integration Failure,63,Medium,No,None
TKT-000105,2,6,4,Germany,Low,2025-01-15,82.9,120,No,Resolved,Training Gap,18,Low,No,Medium
TKT-000106,5,2,1,UK,High,2024-08-02,52.7,24,Yes,Resolved,Missing Data,55,Medium,No,Medium
TKT-000107,3,5,7,France,Medium,2025-01-18,32.1,72,No,Resolved,System Defect,39,Low,No,None
TKT-000108,8,4,7,UK,Medium,2025-04-10,9.8,72,No,In Progress,Process Gap,44,Medium,No,None
TKT-000109,2,5,1,Singapore,High,2025-07-13,89.7,24,Yes,Resolved,Process Gap,74,High,Yes,High
TKT-000110,1,2,7,Singapore,Critical,2024-01-15,26.6,8,Yes,Resolved,Unknown,68,Medium,Yes,Low
TKT-000111,7,3,5,Australia,High,2024-03-09,11.5,24,No,Closed,External Dependency,40,Medium,No,Low
TKT-000112,1,4,7,Netherlands,High,2025-09-02,10.6,24,No,Open,Human Error,48,Medium,No,None
TKT-000113,3,6,7,France,Low,2025-02-22,2.8,120,No,Resolved,Training Gap,32,Low,No,None
TKT-000114,2,1,4,Singapore,Medium,2024-09-01,1.8,72,No,Resolved,External Dependency,18,Low,No,Medium
TKT-000115,1,6,7,France,Medium,2025-03-25,223.1,72,Yes,In Progress,Human Error,65,Medium,No,None
TKT-000116,2,5,8,UK,Low,2024-01-25,139.7,120,Yes,In Progress,Process Gap,50,Medium,Yes,Low
TKT-000117,5,2,4,Canada,Medium,2025-02-04,24.1,72,No,Resolved,Missing Data,18,Low,No,None
TKT-000118,1,8,8,US,High,2024-09-04,26.0,24,Yes,Closed,Human Error,72,High,No,None
TKT-000119,3,4,7,Germany,Low,2025-12-08,42.1,120,No,In Progress,Missing Data,18,Low,No,Low
TKT-000120,6,3,7,Germany,Medium,2025-10-02,36.1,72,No,Resolved,Training Gap,28,Low,No,None
TKT-000121,2,3,2,US,Medium,2024-04-30,27.3,72,No,Open,System Defect,23,Low,No,High
TKT-000122,4,8,5,US,Low,2025-06-03,12.6,120,No,Closed,Unknown,37,Low,No,Medium
TKT-000123,8,5,1,Germany,High,2024-03-22,89.0,24,Yes,In Progress,Missing Data,54,Medium,Yes,High
TKT-000124,3,2,1,Canada,High,2024-10-04,96.1,24,Yes,Resolved,Human Error,75,High,Yes,Medium
TKT-000125,6,1,4,US,High,2024-10-10,16.6,24,No,Resolved,System Defect,41,Medium,No,Low
TKT-000126,6,6,7,France,Medium,2024-02-27,113.0,72,Yes,Resolved,,38,Low,No,Medium
TKT-000127,1,4,7,Germany,Medium,2025-12-25,78.7,72,Yes,Closed,Training Gap,62,Medium,Yes,Low
TKT-000128,8,4,8,Australia,Low,2025-01-27,135.7,120,Yes,Closed,Human Error,43,Medium,No,Low
TKT-000129,6,6,8,Canada,Critical,2025-10-15,31.7,8,Yes,Resolved,Human Error,87,High,No,None
TKT-000130,8,8,6,UK,Medium,2025-10-14,26.1,72,No,Resolved,Missing Data,48,Medium,No,Low
TKT-000131,8,4,4,Germany,Medium,2024-07-17,42.0,72,No,Open,Human Error,34,Low,No,Low
TKT-000132,7,4,6,France,High,2025-10-01,33.3,24,Yes,Resolved,Human Error,59,Medium,Yes,Low
TKT-000133,7,4,5,Australia,High,2025-05-19,37.2,24,Yes,Resolved,Unknown,65,Medium,No,Low
TKT-000134,6,7,6,Singapore,Medium,2025-10-06,36.3,72,No,Open,Human Error,35,Low,No,Medium
TKT-000135,4,2,6,US,Low,2024-12-18,53.9,120,No,Resolved,Integration Failure,37,Low,No,None
TKT-000136,4,3,2,Germany,Medium,2025-02-05,17.4,72,No,Resolved,External Dependency,48,Medium,No,Low
TKT-000137,2,7,1,Singapore,Medium,2024-11-08,69.2,72,No,In Progress,Process Gap,23,Low,No,None
TKT-000138,2,5,8,Netherlands,Medium,2025-01-27,21.0,72,No,Closed,Unknown,20,Low,No,Medium
TKT-000139,3,5,2,US,Medium,2024-10-10,16.3,72,No,Resolved,Training Gap,44,Medium,No,None
TKT-000140,7,6,4,Australia,Low,2025-11-16,29.9,120,No,Open,Unknown,18,Low,No,Low
TKT-000141,3,7,8,US,Low,2025-12-28,12.6,120,No,Open,Missing Data,38,Low,No,None
TKT-000142,8,5,6,France,High,2024-05-08,15.6,24,No,Resolved,Integration Failure,42,Medium,No,Low
TKT-000143,7,4,6,UK,Medium,2025-12-26,35.4,72,No,Resolved,Process Gap,42,Medium,No,Low
TKT-000144,4,1,6,Australia,High,2025-10-23,28.1,24,Yes,Open,Process Gap,62,Medium,Yes,Low
TKT-000145,7,2,5,UK,High,2025-06-25,23.5,24,No,Resolved,Unknown,41,Medium,No,Low
TKT-000146,1,3,7,US,Critical,2025-05-16,29.7,8,Yes,Open,External Dependency,62,Medium,Yes,None
TKT-000147,7,5,5,Singapore,Medium,2024-09-07,17.7,72,No,Closed,Unknown,41,Medium,No,Low
TKT-000148,6,3,7,Australia,Medium,2025-10-10,55.8,72,No,Closed,Training Gap,27,Low,No,None
TKT-000149,4,8,7,Germany,Critical,2024-04-04,29.3,8,Yes,Resolved,Unknown,87,High,No,Low
TKT-000150,1,3,8,US,High,2025-02-17,144.6,24,Yes,Closed,Human Error,76,High,No,None
TKT-000151,8,7,7,Netherlands,Low,2025-02-16,15.8,120,No,Closed,Missing Data,17,Low,No,Low
TKT-000152,6,1,1,Germany,High,2025-12-28,67.7,24,Yes,Closed,Unknown,57,Medium,Yes,High
TKT-000153,3,1,8,Germany,High,2025-06-17,10.1,24,No,Open,Unknown,55,Medium,No,None
TKT-000154,5,6,6,Germany,Medium,2025-07-04,55.5,72,No,Resolved,System Defect,33,Low,No,Severe
TKT-000155,2,4,3,US,Low,2025-08-18,116.0,120,No,Resolved,Missing Data,31,Low,No,None
TKT-000156,7,6,4,Netherlands,High,2025-10-03,18.5,24,No,In Progress,System Defect,55,Medium,No,Low
TKT-000157,1,1,5,Canada,Medium,2024-07-11,9.7,72,No,Closed,Integration Failure,41,Medium,No,Medium
TKT-000158,4,7,8,Netherlands,Medium,2025-07-21,36.6,72,No,Resolved,Missing Data,25,Low,No,High
TKT-000159,1,5,4,Canada,High,2025-08-24,17.8,24,No,Resolved,Missing Data,60,Medium,No,None
TKT-000160,8,6,8,Canada,Medium,2024-02-13,47.4,72,No,Resolved,Human Error,34,Low,No,Medium
TKT-000161,2,6,1,Australia,Medium,2025-10-14,34.2,72,No,Closed,Unknown,26,Low,No,Low
TKT-000162,4,8,2,Australia,Medium,2025-03-28,30.6,72,No,Resolved,Process Gap,35,Low,No,Low
TKT-000163,4,2,1,Germany,Medium,2024-01-01,37.2,72,No,Resolved,System Defect,37,Low,No,None
TKT-000164,4,1,6,UK,Medium,2025-12-27,29.0,72,No,Resolved,Integration Failure,45,Medium,No,None
TKT-000165,8,6,6,Germany,High,2025-05-08,16.0,24,No,Closed,Integration Failure,44,Medium,No,Medium
TKT-000166,4,6,6,Australia,Low,2025-02-01,33.0,120,No,Resolved,External Dependency,18,Low,No,High
TKT-000167,2,5,6,US,Medium,2024-01-16,122.1,72,Yes,Resolved,Unknown,56,Medium,No,Low
TKT-000168,4,8,4,Singapore,High,2024-11-28,37.5,24,Yes,Closed,Process Gap,77,High,No,Medium
TKT-000169,6,3,6,Canada,Critical,2025-03-31,3.0,8,No,In Progress,Process Gap,60,Medium,No,None
TKT-000170,7,6,7,UK,Medium,2025-09-08,60.5,72,No,Resolved,Unknown,37,Low,No,Low
TKT-000171,2,5,7,France,Medium,2024-11-05,63.3,72,No,Closed,Missing Data,40,Medium,No,Severe
TKT-000172,1,6,4,Singapore,Critical,2025-11-11,26.4,8,Yes,Resolved,Process Gap,88,High,Yes,Low
TKT-000173,5,1,5,Australia,Medium,2025-04-04,40.1,72,No,Open,Process Gap,33,Low,No,Medium
TKT-000174,5,8,6,Germany,High,2025-09-29,34.4,24,Yes,Closed,Missing Data,54,Medium,Yes,None
TKT-000175,2,7,3,Germany,Medium,2024-03-29,13.2,72,No,Resolved,Unknown,27,Low,No,None
TKT-000176,1,3,1,Germany,High,2024-07-21,34.7,24,Yes,Resolved,Missing Data,72,High,No,Medium
TKT-000177,5,4,7,Canada,Medium,2025-11-22,56.1,72,No,Closed,Human Error,46,Medium,No,Medium
TKT-000178,4,2,7,Netherlands,Medium,2024-02-27,35.0,72,No,Closed,Missing Data,34,Low,No,None
TKT-000179,6,8,5,UK,Low,2024-07-02,31.5,120,No,In Progress,Process Gap,11,Low,No,High
TKT-000180,7,1,1,France,High,2024-07-23,10.4,24,No,Closed,Training Gap,41,Medium,No,Medium
TKT-000181,8,1,3,UK,Medium,2024-11-12,11.1,72,No,Closed,External Dependency,38,Low,No,None
TKT-000182,2,5,1,France,High,2024-11-14,44.0,24,Yes,Open,External Dependency,62,Medium,No,Severe
TKT-000183,4,8,1,Australia,Low,2024-11-10,93.1,120,No,Resolved,Unknown,27,Low,No,None
TKT-000184,6,6,3,Australia,Low,2025-06-03,106.2,120,No,Closed,Training Gap,35,Low,No,Medium
TKT-000185,8,4,6,Netherlands,High,2025-01-14,44.7,24,Yes,Resolved,Training Gap,68,Medium,Yes,High
TKT-000186,4,6,8,Australia,Medium,2025-10-03,22.7,72,No,Closed,Integration Failure,41,Medium,No,High
TKT-000187,1,6,6,Australia,Medium,2025-07-03,49.6,72,No,Resolved,Process Gap,36,Low,No,Medium
TKT-000188,6,1,6,France,Medium,2025-12-09,15.1,72,No,Open,Unknown,25,Low,No,Medium
TKT-000189,3,3,5,Australia,Medium,2024-09-23,66.3,72,No,Resolved,Training Gap,33,Low,No,
TKT-000190,6,7,1,Germany,High,2024-12-31,39.9,24,Yes,Resolved,Missing Data,62,Medium,Yes,Medium
TKT-000191,5,4,1,UK,High,2024-03-27,8.2,24,No,Open,Process Gap,51,Medium,No,None
TKT-000192,3,6,6,UK,Low,2025-10-17,24.3,120,No,Open,System Defect,16,Low,No,None
TKT-000193,2,3,4,Netherlands,Low,2024-03-19,47.8,120,No,Resolved,Training Gap,26,Low,No,Medium
TKT-000194,1,5,6,France,Medium,2024-12-13,14.8,72,No,Closed,Training Gap,36,Low,No,Medium
TKT-000195,7,4,6,Singapore,Medium,2024-04-26,73.0,72,Yes,Closed,Training Gap,44,Medium,Yes,Low
TKT-000196,7,2,7,Singapore,Medium,2025-06-11,2.9,72,No,Open,Human Error,43,Medium,No,High
TKT-000197,7,4,7,France,Medium,2024-03-02,142.8,72,Yes,Resolved,External Dependency,57,Medium,Yes,High
TKT-000198,4,5,8,Canada,Low,2025-05-19,26.7,120,No,Resolved,Human Error,38,Low,No,Low
TKT-000199,1,3,8,Australia,Low,2025-03-21,69.9,120,No,In Progress,Training Gap,9,Low,No,Low
TKT-000200,7,5,6,Netherlands,Medium,2024-07-21,59.4,72,No,Resolved,External Dependency,41,Medium,No,Low
TKT-000201,8,1,2,Germany,Medium,2025-08-28,20.9,72,No,Resolved,Missing Data,23,Low,No,Low
TKT-000202,6,6,3,US,High,2025-06-11,10.5,24,No,Closed,Training Gap,50,Medium,No,Medium
TKT-000203,2,4,1,Singapore,High,2024-04-28,43.4,24,Yes,Closed,System Defect,69,Medium,Yes,Low
TKT-000204,7,3,5,US,Low,2024-04-03,51.9,120,No,Open,Missing Data,24,Low,No,High
TKT-000205,8,8,7,Netherlands,Medium,2024-07-22,9.1,72,No,Resolved,Process Gap,39,Low,No,None
TKT-000206,1,8,8,Australia,Critical,2024-11-01,12.9,8,Yes,Resolved,Integration Failure,78,High,Yes,Low
TKT-000207,3,2,5,Germany,High,2024-04-13,21.7,24,No,In Progress,Process Gap,44,Medium,No,High
TKT-000208,1,5,1,Netherlands,Medium,2024-06-20,51.6,72,No,Closed,Human Error,36,Low,No,Low
TKT-000209,2,6,2,Germany,Critical,2025-01-07,18.0,8,Yes,In Progress,Integration Failure,63,Medium,Yes,None
TKT-000210,6,6,4,Netherlands,High,2025-08-03,142.2,24,Yes,Resolved,Unknown,76,High,Yes,High
TKT-000211,8,7,1,Netherlands,Medium,2025-03-21,15.7,72,No,Closed,Unknown,39,Low,No,High
TKT-000212,4,2,8,Netherlands,Medium,2024-11-16,98.5,72,Yes,Resolved,Missing Data,45,Medium,No,Low
TKT-000213,3,2,6,Canada,Medium,2024-01-22,12.1,72,No,Closed,External Dependency,34,Low,No,Low
TKT-000214,8,4,4,UK,High,2024-01-27,56.8,24,Yes,Closed,Integration Failure,73,High,No,Low
TKT-000215,4,8,3,Canada,Medium,2024-06-13,40.1,72,No,Resolved,Training Gap,26,Low,No,Low
TKT-000216,8,6,6,UK,High,2025-05-11,40.0,24,Yes,Resolved,Training Gap,66,Medium,Yes,High
TKT-000217,7,8,8,Canada,Medium,2024-12-29,3.1,72,No,In Progress,Integration Failure,30,Low,No,Medium
TKT-000218,3,7,6,Netherlands,Medium,2024-09-12,31.0,72,No,Closed,Integration Failure,42,Medium,No,None
TKT-000219,8,4,1,Netherlands,Medium,2025-08-08,221.4,72,Yes,Closed,Integration Failure,61,Medium,No,High
TKT-000220,7,3,7,Singapore,Low,2024-05-25,9.5,120,No,Closed,Unknown,29,Low,No,Low
TKT-000221,7,7,3,Canada,Medium,2024-04-14,55.3,72,No,In Progress,Missing Data,29,Low,No,Severe
TKT-000222,2,5,3,Australia,Medium,2024-09-20,46.3,72,No,Resolved,Integration Failure,37,Low,No,Medium
TKT-000223,5,5,8,France,High,2024-08-15,53.2,24,Yes,Resolved,Training Gap,60,Medium,No,Low
TKT-000224,4,8,3,Australia,Medium,2025-05-19,63.9,72,No,Resolved,Unknown,32,Low,No,Medium
TKT-000225,2,7,4,France,High,2024-01-27,58.2,24,Yes,Resolved,Unknown,58,Medium,Yes,None
TKT-000226,3,3,4,Canada,High,2025-01-19,45.9,24,Yes,In Progress,External Dependency,55,Medium,Yes,Medium
TKT-000227,5,2,5,Australia,Low,2025-09-25,9.2,120,No,Resolved,Process Gap,36,Low,No,Medium
TKT-000228,3,1,6,Germany,Medium,2025-06-25,3.7,72,No,Resolved,Human Error,28,Low,No,Medium
TKT-000229,6,6,6,Singapore,Low,2024-03-08,85.5,120,No,Resolved,Missing Data,32,Low,No,None
TKT-000230,6,4,6,UK,Medium,2025-06-03,49.8,72,No,Closed,Human Error,41,Medium,No,Medium
TKT-000231,1,7,7,Singapore,Medium,2024-03-01,41.5,72,No,Open,Human Error,27,Low,No,Low
TKT-000232,5,6,6,Germany,Medium,2025-06-28,65.2,72,No,Closed,External Dependency,34,Low,No,Low
TKT-000233,3,1,5,UK,Medium,2024-01-09,60.7,72,No,Resolved,Unknown,32,Low,No,Low
TKT-000234,1,5,7,Netherlands,Medium,2025-07-14,4.8,72,No,Closed,Integration Failure,19,Low,No,None
TKT-000235,3,6,5,UK,High,2025-10-08,4.7,24,No,Resolved,Training Gap,60,Medium,No,Low
TKT-000236,2,4,3,Australia,Medium,2024-01-21,30.2,72,No,In Progress,Unknown,47,Medium,No,Low
TKT-000237,2,7,5,US,High,2025-06-21,65.2,24,Yes,Closed,System Defect,58,Medium,Yes,Medium
TKT-000238,6,4,3,Germany,Critical,2024-06-28,6.6,8,No,In Progress,System Defect,51,Medium,No,None
TKT-000239,2,5,6,Germany,Medium,2025-11-07,136.7,72,Yes,Open,Training Gap,42,Medium,No,Medium
TKT-000240,4,3,7,Singapore,High,2024-07-28,49.4,24,Yes,Closed,Unknown,78,High,No,Medium
TKT-000241,7,8,1,Australia,Low,2024-03-08,24.8,120,No,Closed,External Dependency,28,Low,No,Medium
TKT-000242,2,3,1,Australia,Low,2025-06-26,60.3,120,No,In Progress,Integration Failure,22,Low,No,Low
TKT-000243,6,2,7,UK,Low,2025-06-26,41.8,120,No,Closed,Training Gap,36,Low,No,None
TKT-000244,3,1,4,Netherlands,Medium,2024-06-16,112.4,72,Yes,Resolved,Training Gap,54,Medium,Yes,Low
